Date,Price,Open,High,Low,Vol.,Change %
2024-02-06,405.49,405.88,407.97,402.91,18.38M,-0.04%
2024-02-07,414.05,407.44,414.3,407.4,22.34M,2.11%
2024-02-08,414.11,414.05,415.56,412.53,21.23M,0.01%
2024-02-09,420.55,415.25,420.82,415.09,22.03M,1.56%
2024-02-12,415.26,420.56,420.74,414.75,21.20M,-1.26%
2024-02-13,406.32,404.94,410.07,403.39,27.82M,-2.15%
2024-02-14,409.49,408.07,409.84,404.57,20.40M,0.78%
2024-02-15,406.56,408.14,409.13,404.29,21.83M,-0.72%
2024-02-16,404.06,407.96,408.29,403.44,22.30M,-0.61%
2024-02-20,402.79,403.24,404.49,398.01,24.31M,-0.31%
2024-02-21,402.18,400.17,402.29,397.22,18.63M,-0.15%
2024-02-22,411.65,410.19,412.83,408.57,27.01M,2.35%
2024-02-23,410.34,415.67,415.86,408.97,16.30M,-0.32%
2024-02-26,407.54,411.45,412.16,407.36,16.19M,-0.68%
2024-02-27,407.48,407.99,408.32,403.85,14.84M,-0.01%
2024-02-28,407.72,408.18,409.3,405.32,13.18M,0.06%
2024-02-29,413.64,408.64,414.2,405.92,31.95M,1.45%
2024-03-01,415.5,411.27,415.87,410.88,17.82M,0.45%
2024-03-04,414.92,413.44,417.35,412.32,17.60M,-0.14%
2024-03-05,402.65,413.96,414.25,400.64,26.92M,-2.96%
2024-03-06,402.09,402.97,405.16,398.39,22.34M,-0.14%
2024-03-07,409.14,406.12,409.78,402.24,18.72M,1.75%
2024-03-08,406.22,407.96,410.42,404.33,18.00M,-0.71%
2024-03-11,404.52,403.76,405.68,401.26,16.12M,-0.42%
2024-03-12,415.28,407.62,415.57,406.79,22.46M,2.66%
2024-03-13,415.1,418.1,418.18,411.45,17.12M,-0.04%
2024-03-14,425.22,420.24,427.82,417.99,34.16M,2.44%
2024-03-15,416.42,419.29,422.6,412.79,45.08M,-2.07%
2024-03-18,417.32,414.25,420.73,413.78,20.11M,0.22%
2024-03-19,421.41,417.83,421.67,415.55,19.84M,0.98%
2024-03-20,425.23,422.0,425.96,420.66,17.86M,0.91%
2024-03-21,429.37,429.83,430.82,427.16,21.30M,0.97%
2024-03-22,428.74,429.7,429.86,426.07,17.65M,-0.15%
2024-03-25,422.86,425.24,427.41,421.61,18.06M,-1.37%
2024-03-26,421.65,425.61,425.99,421.35,16.73M,-0.29%
2024-03-27,421.43,424.44,424.45,419.01,16.70M,-0.05%
2024-03-28,420.72,420.96,421.87,419.12,21.87M,-0.17%
2024-04-01,424.57,423.95,427.89,422.22,16.32M,0.92%
2024-04-02,421.44,420.11,422.38,417.84,17.91M,-0.74%
2024-04-03,420.45,419.73,423.26,419.08,16.50M,-0.23%
2024-04-04,417.88,424.99,428.67,417.57,19.37M,-0.61%
2024-04-05,425.52,420.01,426.51,418.32,16.55M,1.83%
2024-04-08,424.59,425.17,427.28,423.3,14.27M,-0.22%
2024-04-09,426.28,426.44,427.74,421.62,12.51M,0.40%
2024-04-10,423.26,422.19,424.03,419.7,16.22M,-0.71%
2024-04-11,427.93,425.82,429.37,422.36,17.97M,1.10%
2024-04-12,421.9,424.05,425.18,419.77,19.25M,-1.41%
2024-04-15,413.64,426.6,426.82,413.43,20.27M,-1.96%
2024-04-16,414.58,414.57,418.4,413.73,16.77M,0.23%
2024-04-17,411.84,417.25,418.88,410.33,15.86M,-0.66%
2024-04-18,404.27,410.63,411.89,403.95,21.03M,-1.84%
2024-04-19,399.12,404.03,405.48,397.77,30.57M,-1.27%
2024-04-22,400.96,400.08,402.85,395.75,20.29M,0.46%
2024-04-23,407.57,404.24,408.2,403.06,15.73M,1.65%
2024-04-24,409.06,409.56,412.47,406.78,15.07M,0.37%
2024-04-25,399.04,394.03,399.89,388.03,40.59M,-2.45%
2024-04-26,406.32,412.17,413.0,405.76,29.69M,1.82%
2024-04-29,402.25,405.25,406.32,399.19,19.58M,-1.00%
2024-04-30,389.33,401.49,402.16,389.17,28.78M,-3.21%
2024-05-01,394.94,392.61,401.72,390.31,23.56M,1.44%
2024-05-02,397.84,397.66,399.93,394.65,17.71M,0.73%
2024-05-03,406.66,402.28,407.15,401.86,17.45M,2.22%
2024-05-06,413.54,408.76,413.93,406.37,17.00M,1.69%
2024-05-07,409.34,414.66,414.67,409.09,20.02M,-1.02%
2024-05-08,410.54,408.17,412.23,406.71,11.79M,0.29%
2024-05-09,412.32,410.57,412.72,409.1,14.69M,0.43%
2024-05-10,414.74,412.94,415.38,411.8,13.40M,0.59%
2024-05-13,413.72,418.01,418.35,410.82,15.44M,-0.25%
2024-05-14,416.56,412.02,417.49,411.55,15.11M,0.69%
2024-05-15,423.08,417.9,423.81,417.27,22.24M,1.57%
2024-05-16,420.99,421.8,425.42,420.35,17.53M,-0.49%
2024-05-17,420.21,422.54,422.92,418.02,15.35M,-0.19%
2024-05-20,425.34,420.21,426.77,419.99,16.27M,1.22%
2024-05-21,429.04,426.82,432.97,424.85,21.45M,0.87%
2024-05-22,430.52,430.09,432.41,427.13,18.07M,0.34%
2024-05-23,427.0,432.97,433.6,425.42,17.21M,-0.82%
2024-05-24,430.16,427.19,431.06,424.41,11.86M,0.74%
2024-05-28,430.32,429.63,430.82,426.6,15.72M,0.04%
2024-05-29,429.17,425.69,430.94,425.69,15.52M,-0.27%
2024-05-30,414.67,424.3,424.3,414.24,28.42M,-3.38%
2024-05-31,415.13,416.75,416.75,404.51,48.00M,0.11%
2024-06-03,413.52,415.52,416.43,408.92,17.48M,-0.39%
2024-06-04,416.07,412.43,416.44,409.68,14.35M,0.62%
2024-06-05,424.01,417.81,424.08,416.3,16.99M,1.91%
2024-06-06,424.52,424.01,425.31,420.58,14.86M,0.12%
2024-06-07,423.85,426.2,426.28,423.0,13.62M,-0.16%
2024-06-10,427.87,424.7,428.08,423.89,14.00M,0.95%
2024-06-11,432.68,425.48,432.82,425.25,14.55M,1.12%
2024-06-12,441.06,435.32,443.4,433.25,22.37M,1.94%
2024-06-13,441.58,440.85,443.39,439.37,15.96M,0.12%
2024-06-14,442.57,438.27,443.14,436.72,13.58M,0.22%
2024-06-17,448.37,442.58,450.94,440.72,20.79M,1.31%
2024-06-18,446.34,449.7,450.14,444.89,17.11M,-0.45%
2024-06-20,445.7,446.3,446.53,441.27,19.88M,-0.14%
2024-06-21,449.78,447.38,450.58,446.51,34.49M,0.92%
2024-06-24,447.67,449.8,452.75,446.41,15.91M,-0.47%
2024-06-25,450.95,448.25,451.42,446.75,16.75M,0.73%
2024-06-26,452.16,449.0,453.6,448.19,16.51M,0.27%
2024-06-27,452.85,452.18,456.17,451.77,14.81M,0.15%
2024-06-28,446.95,453.07,455.38,446.41,28.36M,-1.30%
2024-07-01,456.73,448.66,457.37,445.66,17.66M,2.19%
2024-07-02,459.28,453.2,459.59,453.11,13.98M,0.56%
2024-07-03,460.77,458.19,461.02,457.88,9.93M,0.32%
2024-07-05,467.56,459.61,468.35,458.96,16.00M,1.47%
2024-07-08,466.24,466.55,467.7,464.46,12.96M,-0.28%
2024-07-09,459.54,467.0,467.33,458.0,17.23M,-1.44%
2024-07-10,466.25,461.22,466.46,458.86,18.20M,1.46%
2024-07-11,454.7,462.98,464.78,451.55,23.11M,-2.48%
2024-07-12,453.55,454.32,456.36,450.64,16.32M,-0.25%
2024-07-15,453.96,453.3,457.26,451.43,14.43M,0.09%
2024-07-16,449.52,454.22,454.3,446.66,17.18M,-0.98%
2024-07-17,443.52,442.59,444.85,439.18,21.75M,-1.33%
2024-07-18,440.37,444.34,444.65,434.4,20.79M,-0.71%
2024-07-19,437.11,433.1,441.14,432.0,20.94M,-0.74%
2024-07-22,442.94,441.79,444.6,438.91,15.81M,1.33%
2024-07-23,444.85,443.89,448.39,443.1,13.11M,0.43%
2024-07-24,428.9,440.45,441.48,427.58,26.81M,-3.59%
2024-07-25,418.4,428.8,429.8,417.51,29.94M,-2.45%
2024-07-26,425.27,418.2,428.92,417.27,23.58M,1.64%
2024-07-29,426.73,431.58,432.15,424.7,15.13M,0.34%
2024-07-30,422.92,427.72,429.05,417.36,32.69M,-0.89%
2024-07-31,418.35,420.5,421.77,412.21,42.89M,-1.08%
2024-08-01,417.11,420.79,427.46,413.09,30.30M,-0.30%
2024-08-02,408.49,412.49,415.0,404.34,29.44M,-2.07%
2024-08-05,395.15,389.17,401.04,385.58,40.71M,-3.27%
2024-08-06,399.61,400.0,405.67,398.5,24.95M,1.13%
2024-08-07,398.43,408.63,410.08,397.47,20.65M,-0.30%
2024-08-08,402.69,402.44,405.86,399.94,20.20M,1.07%
2024-08-09,406.02,404.03,408.05,402.26,19.28M,0.83%
2024-08-12,406.81,407.06,408.76,404.24,16.76M,0.19%
2024-08-13,414.01,409.59,414.95,409.57,19.41M,1.77%
2024-08-14,416.86,414.8,417.72,412.45,18.27M,0.69%
2024-08-15,421.03,419.8,421.11,417.66,20.75M,1.00%
2024-08-16,418.47,420.6,421.34,417.3,22.78M,-0.61%
2024-08-19,421.53,418.96,421.75,416.46,15.23M,0.73%
2024-08-20,424.8,421.7,425.86,421.64,16.39M,0.78%
2024-08-21,424.14,424.07,426.4,421.72,16.07M,-0.16%
2024-08-22,415.55,424.36,426.79,414.61,19.36M,-2.03%
2024-08-23,416.79,416.98,419.26,412.09,18.49M,0.30%
2024-08-26,413.49,416.37,417.28,411.34,13.15M,-0.79%
2024-08-27,413.84,412.86,414.36,410.25,13.49M,0.08%
2024-08-28,410.6,414.88,415.0,407.31,14.88M,-0.78%
2024-08-29,413.12,414.94,422.05,410.6,17.05M,0.61%
2024-08-30,417.14,415.6,417.49,412.13,24.31M,0.97%
2024-09-03,409.44,417.91,419.88,407.03,20.31M,-1.85%
2024-09-04,408.9,405.91,411.24,404.37,15.14M,-0.13%
2024-09-05,408.39,407.62,413.1,406.13,14.20M,-0.12%
2024-09-06,401.7,409.06,410.65,400.8,19.61M,-1.64%
2024-09-09,405.72,407.24,408.65,402.15,15.30M,1.00%
2024-09-10,414.2,408.2,416.33,407.7,19.59M,2.09%
2024-09-11,423.04,415.5,423.99,409.58,19.27M,2.13%
2024-09-12,427.0,423.31,427.37,419.75,17.42M,0.94%
2024-09-13,430.59,425.82,431.83,425.46,15.87M,0.84%
2024-09-16,431.34,430.6,433.53,428.22,13.83M,0.17%
2024-09-17,435.15,440.23,441.85,432.27,18.87M,0.88%
2024-09-18,430.81,435.0,436.03,430.41,18.90M,-1.00%
2024-09-19,438.69,441.23,441.5,436.9,21.71M,1.83%
2024-09-20,435.27,437.22,439.24,434.22,55.17M,-0.78%
2024-09-23,433.51,434.28,436.46,430.39,15.13M,-0.40%
2024-09-24,429.17,433.0,433.35,426.1,17.02M,-1.00%
2024-09-25,432.11,429.83,433.12,428.57,13.40M,0.69%
2024-09-26,431.31,435.08,435.3,429.13,14.49M,-0.19%
2024-09-27,428.02,431.52,431.85,427.47,14.90M,-0.76%
2024-09-30,430.3,428.21,430.42,425.37,16.85M,0.53%
2024-10-01,420.69,428.45,428.48,418.81,19.09M,-2.23%
2024-10-02,417.13,422.58,422.82,416.71,16.58M,-0.85%
2024-10-03,416.54,417.63,419.55,414.29,13.69M,-0.14%
2024-10-04,416.06,418.24,419.75,414.97,19.19M,-0.12%
2024-10-07,409.54,416.0,417.11,409.0,20.92M,-1.57%
2024-10-08,414.71,410.9,415.66,408.17,19.23M,1.26%
2024-10-09,417.46,415.86,420.38,414.3,14.97M,0.66%
2024-10-10,415.84,415.23,417.35,413.15,13.85M,-0.39%
2024-10-11,416.32,416.13,417.13,413.25,14.14M,0.12%
2024-10-14,419.14,417.77,424.04,417.52,16.65M,0.68%
2024-10-15,418.74,422.18,422.48,415.26,18.90M,-0.10%
2024-10-16,416.12,415.17,416.36,410.48,15.51M,-0.63%
2024-10-17,416.72,422.36,422.5,415.59,14.82M,0.14%
2024-10-18,418.16,417.14,419.65,416.26,17.15M,0.35%
2024-10-21,418.78,416.12,418.96,413.75,14.21M,0.15%
2024-10-22,427.51,418.49,430.58,418.04,25.48M,2.08%
2024-10-23,424.6,430.86,431.08,422.53,19.65M,-0.68%
2024-10-24,424.73,425.32,425.98,422.4,13.58M,0.03%
2024-10-25,428.15,426.76,432.52,426.56,16.90M,0.81%
2024-10-28,426.59,431.65,431.94,426.3,14.88M,-0.36%
2024-10-29,431.95,428.0,433.17,425.8,17.64M,1.26%
2024-10-30,432.53,437.44,438.5,432.1,29.75M,0.13%
2024-10-31,406.35,415.36,416.16,406.3,53.97M,-6.05%
2024-11-01,410.37,409.01,415.5,407.5,24.23M,0.99%
2024-11-04,408.46,409.8,410.42,405.57,19.67M,-0.47%
2024-11-05,411.46,408.37,414.9,408.08,17.63M,0.73%
2024-11-06,420.18,412.42,420.45,410.52,26.68M,2.12%
2024-11-07,425.43,421.28,426.85,419.88,19.90M,1.25%
2024-11-08,422.54,425.32,426.5,421.78,16.89M,-0.68%
2024-11-11,418.01,422.52,424.81,416.0,24.50M,-1.07%
2024-11-12,423.03,418.25,424.44,417.2,19.40M,1.20%
2024-11-13,425.2,421.64,429.33,418.21,21.50M,0.51%
2024-11-14,426.89,425.0,428.17,420.0,30.25M,0.40%
2024-11-15,415.0,419.82,422.8,413.64,28.25M,-2.79%
2024-11-18,415.76,414.87,418.4,412.1,24.74M,0.18%
2024-11-19,417.79,413.11,417.94,411.55,18.13M,0.49%
2024-11-20,415.49,416.87,417.29,410.58,19.19M,-0.55%
2024-11-21,412.87,419.5,419.78,410.29,20.78M,-0.63%
2024-11-22,417.0,411.36,417.4,411.06,24.81M,1.00%
2024-11-25,418.79,418.38,421.08,414.85,27.69M,0.43%
2024-11-26,427.99,419.58,429.04,418.85,23.46M,2.20%
2024-11-27,422.99,425.11,427.23,422.02,18.33M,-1.17%
2024-11-29,423.46,420.09,424.88,417.8,16.27M,0.11%
2024-12-02,430.98,421.57,433.0,421.31,20.21M,1.78%
2024-12-03,431.2,429.84,432.47,427.74,18.30M,0.05%
2024-12-04,437.42,433.03,439.67,432.63,26.01M,1.44%
2024-12-05,442.62,437.92,444.66,436.17,21.70M,1.19%
2024-12-06,443.57,442.3,446.1,441.77,18.82M,0.21%
