,Date,Price,Open,High,Low,Vol.,Change %
Date,,,,,,,
Price,,1.0,0.976963990872993,0.9889991533331298,0.9928542525990164,,
Open,,0.976963990872993,1.0,0.9918636459901804,0.9890369557568387,,
High,,0.9889991533331298,0.9918636459901804,1.0,0.9911045026706021,,
Low,,0.9928542525990164,0.9890369557568387,0.9911045026706021,1.0,,
Vol.,,,,,,,
Change %,,,,,,,
