Date,Price,Open,High,Low,Vol.,Change %
,423.85,426.2,426.28,423.0,13.62,-0.16
,427.87,424.7,428.08,423.89,14.0,0.95
,432.68,425.48,432.82,425.25,14.55,1.12
,441.06,435.32,443.4,433.25,22.37,1.94
,441.58,440.85,443.39,439.37,15.96,0.12
,442.57,438.27,443.14,436.72,13.58,0.22
,448.37,442.58,450.94,440.72,20.79,1.31
,446.34,449.7,450.14,444.89,17.11,-0.45
,445.7,446.3,446.53,441.27,19.88,-0.14
,449.78,447.38,450.58,446.51,34.49,0.92
,447.67,449.8,452.75,446.41,15.91,-0.47
,450.95,448.25,451.42,446.75,16.75,0.73
,452.16,449.0,453.6,448.19,16.51,0.27
,452.85,452.18,456.17,451.77,14.81,0.15
,446.95,453.07,455.38,446.41,28.36,-1.3
,456.73,448.66,457.37,445.66,17.66,2.19
,459.28,453.2,459.59,453.11,13.98,0.56
,460.77,458.19,461.02,457.88,9.93,0.32
,467.56,459.61,468.35,458.96,16.0,1.47
,466.24,466.55,467.7,464.46,12.96,-0.28
,459.54,467.0,467.33,458.0,17.23,-1.44
,466.25,461.22,466.46,458.86,18.2,1.46
,454.7,462.98,464.78,451.55,23.11,-2.48
,453.55,454.32,456.36,450.64,16.32,-0.25
,453.96,453.3,457.26,451.43,14.43,0.09
,449.52,454.22,454.3,446.66,17.18,-0.98
,443.52,442.59,444.85,439.18,21.75,-1.33
,440.37,444.34,444.65,434.4,20.79,-0.71
,437.11,433.1,441.14,432.0,20.94,-0.74
,442.94,441.79,444.6,438.91,15.81,1.33
,444.85,443.89,448.39,443.1,13.11,0.43
,428.9,440.45,441.48,427.58,26.81,-3.59
,418.4,428.8,429.8,417.51,29.94,-2.45
,425.27,418.2,428.92,417.27,23.58,1.64
,426.73,431.58,432.15,424.7,15.13,0.34
,422.92,427.72,429.05,417.36,32.69,-0.89
,418.35,420.5,421.77,412.21,42.89,-1.08
,417.11,420.79,427.46,413.09,30.3,-0.3
,408.49,412.49,415.0,404.34,29.44,-2.07
,395.15,389.17,401.04,385.58,40.71,-3.27
,399.61,400.0,405.67,398.5,24.95,1.13
,398.43,408.63,410.08,397.47,20.65,-0.3
,402.69,402.44,405.86,399.94,20.2,1.07
,406.02,404.03,408.05,402.26,19.28,0.83
,406.81,407.06,408.76,404.24,16.76,0.19
,414.01,409.59,414.95,409.57,19.41,1.77
,416.86,414.8,417.72,412.45,18.27,0.69
,421.03,419.8,421.11,417.66,20.75,1.0
,418.47,420.6,421.34,417.3,22.78,-0.61
,421.53,418.96,421.75,416.46,15.23,0.73
,424.8,421.7,425.86,421.64,16.39,0.78
,424.14,424.07,426.4,421.72,16.07,-0.16
,415.55,424.36,426.79,414.61,19.36,-2.03
,416.79,416.98,419.26,412.09,18.49,0.3
,413.49,416.37,417.28,411.34,13.15,-0.79
,413.84,412.86,414.36,410.25,13.49,0.08
,410.6,414.88,415.0,407.31,14.88,-0.78
,413.12,414.94,422.05,410.6,17.05,0.61
,417.14,415.6,417.49,412.13,24.31,0.97
,409.44,417.91,419.88,407.03,20.31,-1.85
,408.9,405.91,411.24,404.37,15.14,-0.13
,408.39,407.62,413.1,406.13,14.2,-0.12
,401.7,409.06,410.65,400.8,19.61,-1.64
,405.72,407.24,408.65,402.15,15.3,1.0
,414.2,408.2,416.33,407.7,19.59,2.09
,423.04,415.5,423.99,409.58,19.27,2.13
,427.0,423.31,427.37,419.75,17.42,0.94
,430.59,425.82,431.83,425.46,15.87,0.84
,431.34,430.6,433.53,428.22,13.83,0.17
,435.15,440.23,441.85,432.27,18.87,0.88
,430.81,435.0,436.03,430.41,18.9,-1.0
,438.69,441.23,441.5,436.9,21.71,1.83
,435.27,437.22,439.24,434.22,55.17,-0.78
,433.51,434.28,436.46,430.39,15.13,-0.4
,429.17,433.0,433.35,426.1,17.02,-1.0
,432.11,429.83,433.12,428.57,13.4,0.69
,431.31,435.08,435.3,429.13,14.49,-0.19
,428.02,431.52,431.85,427.47,14.9,-0.76
,430.3,428.21,430.42,425.37,16.85,0.53
,420.69,428.45,428.48,418.81,19.09,-2.23
,417.13,422.58,422.82,416.71,16.58,-0.85
,416.54,417.63,419.55,414.29,13.69,-0.14
,416.06,418.24,419.75,414.97,19.19,-0.12
,409.54,416.0,417.11,409.0,20.92,-1.57
,414.71,410.9,415.66,408.17,19.23,1.26
,417.46,415.86,420.38,414.3,14.97,0.66
,415.84,415.23,417.35,413.15,13.85,-0.39
,416.32,416.13,417.13,413.25,14.14,0.12
,419.14,417.77,424.04,417.52,16.65,0.68
,418.74,422.18,422.48,415.26,18.9,-0.1
,416.12,415.17,416.36,410.48,15.51,-0.63
,416.72,422.36,422.5,415.59,14.82,0.14
,418.16,417.14,419.65,416.26,17.15,0.35
,418.78,416.12,418.96,413.75,14.21,0.15
,427.51,418.49,430.58,418.04,25.48,2.08
,424.6,430.86,431.08,422.53,19.65,-0.68
,424.73,425.32,425.98,422.4,13.58,0.03
,428.15,426.76,432.52,426.56,16.9,0.81
,426.59,431.65,431.94,426.3,14.88,-0.36
,431.95,428.0,433.17,425.8,17.64,1.26
,432.53,437.44,438.5,432.1,29.75,0.13
,406.35,415.36,416.16,406.3,53.97,-6.05
,410.37,409.01,415.5,407.5,24.23,0.99
,408.46,409.8,410.42,405.57,19.67,-0.47
,411.46,408.37,414.9,408.08,17.63,0.73
,420.18,412.42,420.45,410.52,26.68,2.12
,425.43,421.28,426.85,419.88,19.9,1.25
,422.54,425.32,426.5,421.78,16.89,-0.68
,418.01,422.52,424.81,416.0,24.5,-1.07
,423.03,418.25,424.44,417.2,19.4,1.2
,425.2,421.64,429.33,418.21,21.5,0.51
,426.89,425.0,428.17,420.0,30.25,0.4
,415.0,419.82,422.8,413.64,28.25,-2.79
,415.76,414.87,418.4,412.1,24.74,0.18
,417.79,413.11,417.94,411.55,18.13,0.49
,415.49,416.87,417.29,410.58,19.19,-0.55
,412.87,419.5,419.78,410.29,20.78,-0.63
,417.0,411.36,417.4,411.06,24.81,1.0
,418.79,418.38,421.08,414.85,27.69,0.43
,427.99,419.58,429.04,418.85,23.46,2.2
,422.99,425.11,427.23,422.02,18.33,-1.17
,423.46,420.09,424.88,417.8,16.27,0.11
,430.98,421.57,433.0,421.31,20.21,1.78
,431.2,429.84,432.47,427.74,18.3,0.05
,437.42,433.03,439.67,432.63,26.01,1.44
,442.62,437.92,444.66,436.17,21.7,1.19
,443.57,442.3,446.1,441.77,18.82,0.21
